genres;title;release_date;id
['Action', 'Casual', 'Indie', 'Simulation', 'Strategy'];Lost Summoner Kitty;2018;761140
['Free to Play', 'Indie', 'RPG', 'Strategy'];Ironbound;2018;643980
['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports'];Real Pool 3D - Poolians;2017;670290
['Action', 'Adventure', 'Casual'];弹炸人2222;2017;767400
sin genero;No Title;2016;773570
['Action', 'Adventure', 'Simulation'];Battle Royale Trainer;2018;772540
['Free to Play', 'Indie', 'Simulation', 'Sports'];SNOW - All Access Basic Pass;2018;774276
['Free to Play', 'Indie', 'Simulation', 'Sports'];SNOW - All Access Pro Pass;2018;774277
['Free to Play', 'Indie', 'Simulation', 'Sports'];SNOW - All Access Legend Pass;2018;774278
['Casual', 'Indie', 'Racing', 'Simulation'];Race;2018;768800
sin genero;No Title;2016;724910
['Action', 'Adventure', 'Casual', 'Indie', 'RPG'];Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition;2018;770380
['Casual', 'Indie'];Beach Rules;2018;768880
['Casual', 'Indie', 'Simulation'];Planetarium 2 - Zen Odyssey;2018;765320
['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy'];The first thrust of God;2018;773650
['Free to Play', 'Indie', 'Simulation', 'Sports'];SNOW - Starter Pack;2018;774271
['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy'];The first thrust of God - All Aircrafts;2018;773690
['Free to Play', 'Indie', 'Simulation', 'Sports'];SNOW - Lifetime Pack;2018;774279
sin genero;No Title;2016;772590
sin genero;No Title;2016;640250
['Action', 'Adventure', 'Indie'];The Warrior Of Treasures;2018;768060
sin genero;No Title;2016;711440
['Racing', 'Simulation', 'Sports'];RC Plane 3 - Canyon Scenario;2017;775880
['Racing', 'Simulation', 'Sports'];RC Plane 3 - F-53B;2017;775881
['Action', 'Indie'];DinoBlaster;2018;653960
sin genero;Robotpencil Presents: Understanding 3D for Concept;2018;777910
['Action', 'Indie', 'Racing'];Carmageddon Max Pack;1997;282010
['Action'];Half-Life;1998;70
['Action', 'Indie', 'RPG'];Fallen Mage;2016;752360
sin genero;No Title;2016;594200
['Casual', 'Indie', 'Strategy'];Lost Cities;2018;520680
['Action'];Twisted Enhanced Edition;2018;690410
['Casual', 'Indie', 'Simulation'];Vaporwave Simulator;2018;766850
['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy'];Tactics Forever;2018;413120
['Adventure', 'Casual', 'Indie'];Christmas Santa Troubles;2017;773120
sin genero;No Title;2016;680970
['Action', 'Adventure', 'RPG'];Underdone - Soundtrack;2018;754360
['Adventure', 'Casual', 'Indie', 'RPG'];Bitcoin Clicker;2018;716110
['Strategy'];Disciples II: Gallean's Return;2006;1640
['Strategy'];Disciples II: Rise of the Elves;2006;1630
['Action', 'Indie', 'RPG'];The Ship: Murder Party;2006;2400
['Strategy'];United Tactics;2016;662570
['Indie', 'Massively Multiplayer', 'RPG', 'Early Access'];Life of Rome;2017;381620
sin genero;No Title;2016;541930
['Action', 'Indie', 'Strategy', 'Early Access'];Souland;2017;759920
['Action', 'Adventure', 'Indie', 'RPG', 'Strategy'];Darkness and a Crowd;2018;659780
['Action', 'Adventure', 'Indie', 'RPG'];TAROTICA VOO DOO;2017;603280
['Casual', 'Strategy', 'Early Access'];Chronicles of Vinland;2017;753110
['Action', 'Indie'];Orbitality;2017;753100
sin genero;No Title;2016;769350
['Action', 'Adventure', 'Casual'];Atomic Adam: Episode 1;2017;764280
sin genero;No Title;2016;374970
['Adventure', 'Casual', 'Free to Play', 'Indie'];Mirt. Tales of the Cold Land. Chapter 2;2017;758550
['Action'];Advent Rising;2005;3800
['Indie', 'Strategy'];DEFCON;2006;1520
['Action', 'Indie', 'RPG'];The Ship: Single Player;2006;2420
['Indie', 'Simulation'];Garry's Mod;2006;4000
['Racing'];RACE - The WTCC Game;2006;4230
['Casual', 'Indie'];Zen of Sudoku;2006;4900
['Casual', 'Indie'];Gumboy - Crazy Adventures ;2006;2520
['Strategy'];Ghost Master®;2003;6200
['Strategy'];Vegas: Make It Big ;2006;6210
['Adventure', 'RPG'];Dreamfall: The Longest Journey;2006;6300
['Racing'];FlatOut 2 ;2006;2990
['Racing'];FlatOut;2005;6220
['Action', 'Adventure'];Lost Planet : Extreme Condition;2007;6510
['Strategy'];CivCity: Rome;2006;3980
['RPG'];Arx Fatalis;2002;1700
['Action', 'Adventure', 'RPG'];The Longest Journey;2000;6310
['Strategy'];Civilization IV®: Warlords;2006;3990
['Strategy'];Railroad Tycoon 3;2003;7610
['Strategy'];Sid Meier's Railroads!;2006;7600
['Strategy'];Railroad Tycoon II Platinum;1998;7620
